"","names","n_hits","pident_max","pident_min","evalue_max","evalue_min"
"4","Nakamurella multipartita DSM 44233",1,95.833,95.833,2.67e-23,2.67e-23
"3","Opuntia carstenii;Opuntia cubensis;Opuntia decumbens;Opuntia pittieri;Opuntia repens;Opuntia robusta;Opuntia triacantha",17,100,100,3.99e-32,3.99e-32
"2","Sambucus mexicana",6,99.661,99.661,8.6e-150,8.6e-150
"1","Sambucus williamsii",16,100,99.327,1.43e-152,3.09e-149
